alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
NIMONIC* 81,204.0,wrought,ML_ONLY,SUCCESS,558.5068660733214,,895.0141357972152,,29.639119618926642,,191.9229529172602,188.0,7.95,5.5,MEDIUM,UNKNOWN,0
NIMONIC* 81,316.0,wrought,ML_ONLY,SUCCESS,558.0577873575905,,889.0241496537295,,29.639119618926642,,185.1580201117808,181.0,7.95,5.5,MEDIUM,UNKNOWN,0
NIMONIC* 81,427.0,wrought,ML_ONLY,SUCCESS,558.0577873575905,,889.0241496537294,,29.639119618926642,,180.54655553774603,175.0,7.95,5.5,MEDIUM,UNKNOWN,0
NIMONIC* 81,538.0,wrought,ML_ONLY,SUCCESS,517.0096577855106,505.0,843.4050090287294,855.0,29.319368833099006,36.0,169.64194420014118,167.0,7.95,5.5,MEDIUM,UNKNOWN,0
NIMONIC* 81,649.0,wrought,ML_ONLY,SUCCESS,509.5616152468408,495.0,788.1407924540682,820.0,28.001515444968653,28.0,163.09517052580975,159.0,7.95,5.5,MEDIUM,UNKNOWN,0
NIMONIC* 81,760.0,wrought,ML_ONLY,SUCCESS,482.44370849639773,450.0,668.4244553053047,690.0,29.495836173711705,24.0,156.0609154402359,152.0,7.95,5.5,MEDIUM,UNKNOWN,0
NIMONIC* 81,871.0,wrought,ML_ONLY,SUCCESS,327.60967433921167,,369.6911962952339,310.0,30.597803473115718,,144.56838922309583,138.0,7.95,5.5,MEDIUM,UNKNOWN,0
NIMONIC* 81,982.0,wrought,ML_ONLY,SUCCESS,199.09083980837377,,256.22261897576107,105.0,33.56097176625616,,134.5161503068245,126.0,7.95,5.5,MEDIUM,UNKNOWN,0
ASTROLOY,21.0,wrought,ML_ONLY,SUCCESS,869.3569681304949,1050.0,1226.5662781222004,1415.0,18.014883370312234,16.0,214.0191027909238,,7.69,47.6,MEDIUM,UNKNOWN,0
ASTROLOY,538.0,wrought,ML_ONLY,SUCCESS,837.7200644264938,965.0,1206.9748013055105,1240.0,17.928943569288723,16.0,182.62345519551204,,7.69,47.6,MEDIUM,UNKNOWN,0
ASTROLOY,649.0,wrought,ML_ONLY,SUCCESS,831.8908302301991,965.0,1175.4280685298304,1310.0,17.62917988978433,18.0,174.156936951732,,7.69,47.6,MEDIUM,UNKNOWN,0
ASTROLOY,760.0,wrought,ML_ONLY,SUCCESS,811.9025553825195,910.0,1056.7382399380053,1160.0,18.63496587131765,21.0,168.4998268215437,,7.69,47.6,MEDIUM,UNKNOWN,0
ASTROLOY,871.0,wrought,ML_ONLY,SUCCESS,552.3487390592942,690.0,680.815549438152,775.0,21.344437239533008,25.0,155.79317906128384,,7.69,47.6,MEDIUM,UNKNOWN,0
ASTROLOY,982.0,wrought,ML_ONLY,SUCCESS,324.82342331100983,275.0,399.1919629407421,415.0,27.75352289911376,30.0,147.3640862211723,,7.69,47.6,MEDIUM,UNKNOWN,0
NIMONIC* PE16,21.0,wrought,ML_ONLY,SUCCESS,913.6810280033008,530.0,1234.493750243795,885.0,16.95112256981517,37.0,183.87733741356675,199.0,7.39,61.5,MEDIUM,UNKNOWN,0
NIMONIC* PE16,93.0,wrought,ML_ONLY,SUCCESS,912.276059741582,,1234.22055688442,,16.95214109398509,,183.67898228365954,193.0,7.39,61.5,MEDIUM,UNKNOWN,0
NIMONIC* PE16,204.0,wrought,ML_ONLY,SUCCESS,912.276059741582,,1234.2205568844197,,16.95214109398509,,179.2710102921688,187.0,7.39,61.5,MEDIUM,UNKNOWN,0
NIMONIC* PE16,316.0,wrought,ML_ONLY,SUCCESS,911.4469447568181,,1232.5175787815174,,16.99577499034281,,173.58641274977526,180.0,7.39,61.5,MEDIUM,UNKNOWN,0
